Default Rate,Monthly Expected Loss,Monthly Contribution,Annual Contribution
0.01,10000.0,150000.0,1800000.0
0.02,20000.0,140000.0,1680000.0
0.03,30000.0,130000.0,1560000.0
0.04,40000.0,120000.0,1440000.0
0.05,50000.0,110000.0,1320000.0
0.060000000000000005,60000.00000000001,100000.0,1200000.0
0.06999999999999999,70000.0,90000.0,1080000.0
0.08,80000.0,80000.0,960000.0
0.09,90000.0,70000.0,840000.0
0.09999999999999999,99999.99999999999,60000.000000000015,720000.0000000002
0.11,110000.0,50000.0,600000.0
0.12,120000.0,40000.0,480000.0
0.13,130000.0,30000.0,360000.0
0.14,140000.0,20000.0,240000.0
0.15000000000000002,150000.00000000003,9999.99999999997,119999.99999999965
0.16,160000.0,0.0,0.0
0.17,170000.0,-10000.0,-120000.0
0.18000000000000002,180000.00000000003,-20000.00000000003,-240000.00000000035
0.19,190000.0,-30000.0,-360000.0
0.2,200000.0,-40000.0,-480000.0
